"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0525204,0.789951,0.000297439,0.000250033,0.000523915,0.000950177,0.00131995,0.00177301,0.00331332,0.00732572,0.0161657,0.0506085,8.48463e-05,0.553971,0.99762,1,64.1957,0.411405,0.298086,28.3712,0.390444,62.6672,3.21989,179.933,4.10224,259.724,1.22696,299.572,0.379776,0.222302,0.413147,0.255647,0.473862
0.0528298,0.794375,0.000354722,0.000183169,0.000447525,0.000896442,0.00124177,0.00165875,0.00305709,0.00642727,0.0142852,0.0447945,0.00012227,0.564849,0.974058,1,40.155,0.323279,0.288398,28.6538,3.11056,64.9019,0.858969,179.728,0.342439,258.046,0.493431,296.998,3.18276,0.201039,0.41339,0.236002,0.429745
0.0502753,0.786305,0.000390579,0.000499377,0.000756389,0.000942849,0.00137109,0.00189895,0.003345,0.00723135,0.015837,0.0511658,7.22671e-05,0.389319,0.98608,1,68.3358,0.477584,0.266827,27.5779,0.45499,63.1319,1.7543,179.505,2.07725,260.496,2.18418,299.691,0.725933,0.204231,0.388619,0.224806,0.441519
0.0680808,0.784454,0.000407661,0.000456101,0.000772569,0.00139611,0.00188265,0.00254443,0.00492266,0.0100362,0.0220109,0.0686248,6.49598e-05,0.525796,0.927283,1,45.0907,0.307721,0.346761,27.5761,0.599467,63.7393,0.911065,178.594,0.772999,260.14,0.385745,296.313,1.60877,0.182762,0.370862,0.182769,0.383142
0.0620824,0.719934,0.000354719,0.000291013,0.000578989,0.00111822,0.00157737,0.00211162,0.00411773,0.00827705,0.0180624,0.0586202,0.000107398,0.534422,0.927909,1,68.7883,0.274892,0.317891,28.8817,0.558096,62.3919,0.641802,179.027,2.03676,259.12,0.620072,299.494,1.29063,0.219561,0.419924,0.230257,0.473446
0.0653312,0.737702,0.000362288,0.000279539,0.000411987,0.0010667,0.00143434,0.00186029,0.00369831,0.00802058,0.0174556,0.0556121,0.000109231,0.62665,0.983724,1,62.4269,0.270893,0.354417,28.3216,0.749034,62.488,0.518964,181.219,0.893108,259.293,0.476643,298.014,0.995155,0.212252,0.410711,0.243156,0.452741
0.0620443,0.763339,0.000378297,0.000298215,0.000485114,0.00105647,0.00145534,0.00191974,0.0037291,0.00809828,0.0178278,0.0569338,0.000111471,0.615561,0.978319,1,61.8539,0.280489,0.340701,28.2579,0.928844,61.8901,0.60416,181.352,1.14209,260.083,0.495978,298.213,1.01908,0.209428,0.415166,0.235875,0.442879
0.0502983,0.775942,0.000427304,0.000422433,0.00068921,0.00107826,0.00151725,0.00205339,0.00376507,0.00813207,0.0180413,0.0574364,8.12213e-05,0.478249,0.980712,1,53.1327,0.375111,0.259417,27.2853,1.20796,66.9721,1.16279,175.738,1.64567,259.345,1.04245,298.145,1.3966,0.175036,0.358646,0.182432,0.378817
0.0518116,0.769575,0.000431972,0.000402115,0.000605223,0.00106617,0.00152231,0.00200579,0.00375862,0.00796406,0.0177298,0.0565065,7.14068e-05,0.490522,0.965421,1,50.7062,0.380913,0.263536,27.6385,0.936893,66.939,1.06666,175.012,1.39985,259.505,1.06862,298.772,1.53947,0.17535,0.354242,0.183375,0.390865
0.0540868,0.792254,0.000444923,0.00039765,0.000600437,0.00106947,0.00145686,0.00199253,0.00368078,0.00755103,0.0162681,0.0537219,7.59075e-05,0.512484,0.961653,1,67.7614,0.37452,0.281541,27.4092,0.584016,64.1077,1.20129,176.148,1.38024,260.782,1.25657,297.929,0.998883,0.175006,0.363809,0.199055,0.38242
0.0509367,0.789264,0.00036495,0.000307129,0.000482591,0.00119526,0.00166157,0.00217482,0.0040606,0.00816342,0.0181028,0.0586331,7.79229e-05,0.584142,0.925939,1,38.7963,0.38376,0.270264,28.4283,0.634609,63.2912,2.58804,178.435,0.810763,261.688,0.316868,298.234,0.64164,0.200127,0.387256,0.201803,0.402754
0.0619577,0.768693,0.000506299,0.000376842,0.00055886,0.00097748,0.00144146,0.00186033,0.0035005,0.00754391,0.0163713,0.0523172,9.33251e-05,0.435777,0.994345,1,54.5345,0.326926,0.330223,28.0644,0.65016,63.7134,1.39103,177.626,1.59266,262.71,0.65419,296.677,0.549134,0.208218,0.397519,0.224022,0.446759
0.0640973,0.644652,0.000529308,0.000601935,0.000775906,0.0011593,0.00158721,0.00198558,0.00382505,0.00815319,0.0183101,0.0581479,9.36304e-05,0.457685,0.962556,1,51.0535,0.249617,0.297892,27.9238,1.12016,62.2941,1.14839,176.686,0.944823,260.445,0.499967,298.246,1.04464,0.184408,0.369847,0.183605,0.383623
0.0502942,0.813685,0.000409354,0.000312514,0.000445695,0.000921905,0.00129379,0.00164304,0.00321066,0.00715384,0.0154268,0.0488898,0.00010352,0.562221,0.994815,1,70.0048,0.396088,0.285199,27.7281,0.487082,63.4154,1.94472,179.356,1.92828,260.428,0.887879,297.83,1.2028,0.209226,0.404485,0.235432,0.449932
0.0500611,0.804377,0.000249891,0.00027628,0.000479787,0.000909727,0.00117981,0.00171509,0.00305546,0.00653452,0.0143845,0.0470143,7.52995e-05,0.517781,0.998496,1,70.5953,0.482959,0.279672,27.6113,0.361796,62.7976,1.5182,177.879,0.998318,261.368,2.22023,299.456,1.10795,0.206336,0.391957,0.244054,0.461485
0.0564303,0.79011,0.000416717,0.000306129,0.000565667,0.00112681,0.0015517,0.00203199,0.00371918,0.00712805,0.0150409,0.0470777,7.26861e-05,0.487162,0.862335,1,82.6706,0.41138,0.278216,28.4842,0.624883,63.7142,1.08472,178.413,1.65022,263.686,0.449219,296.764,2.34073,0.205072,0.388159,0.202597,0.407825
0.0608995,0.729766,0.000405063,0.000408503,0.000566628,0.000901823,0.00124659,0.00164671,0.00294065,0.00554002,0.0120153,0.03717,0.00010007,0.365578,0.856446,1,57.3475,0.357422,0.271158,27.1646,0.503534,64.685,0.733952,179.523,0.807189,260.91,0.297383,295.235,0.301984,0.190689,0.384446,0.1961,0.40531
0.0576368,0.812274,0.000479018,0.000505203,0.000721725,0.00103347,0.00144254,0.00189389,0.00365019,0.00748245,0.0168898,0.0529948,9.51486e-05,0.460877,0.989801,1,46.7445,0.334559,0.313477,28.3092,2.77616,64.5684,2.90844,177.674,2.62106,263.182,1.19414,294.965,4.06021,0.19598,0.390399,0.199817,0.435243
0.0640569,0.784464,0.000483252,0.00036655,0.000622939,0.00122628,0.00163061,0.00208941,0.00413748,0.00804758,0.0171555,0.0548563,7.56248e-05,0.43625,0.895138,1,58.1528,0.34573,0.318571,28.2255,0.602853,64.16,0.43213,179.975,0.610781,259.125,1.02181,297.373,0.513023,0.203882,0.396676,0.217857,0.416388
0.0582962,0.759805,0.000400629,0.000418852,0.00063124,0.000914799,0.00123321,0.00158764,0.00293479,0.00610444,0.0135485,0.0412095,0.000111138,0.364255,0.97186,1,51.856,0.324062,0.297503,28.5429,1.42865,63.1787,6.53584,177.833,2.97751,261.189,0.84695,298.274,2.84598,0.201566,0.407305,0.237961,0.463324
