"epsilon","zeta","nu_short[1]","nu_short[2]","nu_short[3]","nu_short[4]","nu_short[5]","nu_short[6]","nu_short[7]","nu_short[8]","nu_short[9]","nu_short[10]","inoculum","beta_short[1]","beta_short[2]","beta_short[3]","r","alpha","gamma","x0","k0","x1","k1","x2","k2","x3","k3","x4","k4","u1","u2","u3","u4"
0.0558164,0.786978,0.0004766,0.000442158,0.000592039,0.000874601,0.00121564,0.00164119,0.00309551,0.00624869,0.0136008,0.0409138,0.000125149,0.43186,0.959774,1,41.7027,0.33126,0.294221,28.5891,1.61176,64.5669,1.26987,178.802,1.01808,259.13,0.466008,299.083,0.689236,0.212295,0.417188,0.259381,0.466938
0.0599102,0.720309,0.000383728,0.000329994,0.000583098,0.000850373,0.00118122,0.0015697,0.00282467,0.00579222,0.0127563,0.0376783,0.000121627,0.414804,0.930491,1,63.5457,0.298226,0.289864,28.4215,1.85548,63.6923,1.17896,179.913,0.479536,262.534,3.00558,298.121,4.55295,0.204876,0.40601,0.219831,0.471377
0.0611339,0.712773,0.000467602,0.00037253,0.000565573,0.000842575,0.00121706,0.00160482,0.00295055,0.00602601,0.0131321,0.0402439,0.000122925,0.426982,0.930025,1,52.3112,0.286161,0.298673,28.8406,2.81356,62.1381,1.84527,178.111,0.467328,260.895,1.238,297.376,0.764071,0.210915,0.41289,0.234137,0.457304
0.0580932,0.666885,0.000458489,0.000539348,0.000790212,0.000824995,0.00116315,0.00150998,0.00288667,0.00579471,0.0126868,0.0388884,0.000142806,0.327662,0.966875,1,46.4869,0.278463,0.28129,28.9047,0.641584,61.1864,2.11622,178.289,0.915642,258.363,0.396392,299.353,0.743881,0.217702,0.428238,0.254296,0.488158
0.0489801,0.737732,0.000568409,0.000461479,0.000649767,0.000674145,0.000917604,0.00129856,0.00227817,0.00485999,0.0102926,0.0330822,0.000147262,0.301734,0.989601,1,72.921,0.348948,0.247743,28.6503,3.94345,63.7794,1.36829,179.969,1.92544,262.009,1.6921,299.411,0.369562,0.209624,0.421862,0.233227,0.526861
0.0544769,0.671778,0.000398548,0.0004209,0.000705581,0.000707229,0.000973106,0.00126196,0.00238527,0.00459942,0.0102362,0.0324501,0.000158152,0.306122,0.949151,1,44.0414,0.291313,0.25101,28.3036,0.747557,65.153,0.931498,179.185,0.762992,257.974,0.526444,298.846,0.418085,0.203223,0.410863,0.234486,0.47434
0.0521088,0.713871,0.000483571,0.00045646,0.000578198,0.000757037,0.00106586,0.00129855,0.00250264,0.00506344,0.0109141,0.0340557,0.000154811,0.35028,0.975912,1,57.7831,0.308982,0.256662,28.3072,1.24764,64.3827,0.898616,180.069,1.07241,259.769,1.51076,297.8,0.399526,0.203592,0.41608,0.23232,0.465726
0.0565374,0.789303,0.000446108,0.000357875,0.000552132,0.000902664,0.0013275,0.00173798,0.0033233,0.00712999,0.0156248,0.0492485,0.000101559,0.495326,0.97405,1,52.3456,0.349639,0.305015,27.9742,0.65353,62.6243,1.70552,178.08,0.83746,260.308,0.347549,299.482,0.405395,0.203157,0.404855,0.229504,0.480412
0.0526061,0.776313,0.000394272,0.000304687,0.000513776,0.000906195,0.00131119,0.00177823,0.00346421,0.00731497,0.0162714,0.0506047,0.000101995,0.521124,0.988375,1,52.2853,0.356258,0.286156,27.7595,0.583434,62.1999,4.23921,178.675,1.29737,260.329,0.485577,299.096,0.41506,0.204618,0.400536,0.22306,0.444179
0.0530058,0.80324,0.000289838,0.000241088,0.000455244,0.00100474,0.00130388,0.00169972,0.00321863,0.00677557,0.0146624,0.0466371,9.98414e-05,0.589518,0.968779,1,59.4538,0.362628,0.29118,28.1086,0.793655,64.4827,0.661491,178.909,1.71377,258.884,2.34559,298.365,3.36477,0.200792,0.397591,0.234465,0.436553
0.0594349,0.770318,0.000423206,0.000425146,0.000574085,0.000879254,0.00121072,0.0015621,0.00286097,0.00547428,0.0120904,0.035721,0.000110972,0.350532,0.891902,1,53.6349,0.355423,0.287302,28.5375,0.81368,62.7895,3.29761,178.275,0.800298,261.516,0.300537,295.107,0.337256,0.206972,0.416128,0.232331,0.45678
0.0548597,0.790681,0.000438396,0.000382127,0.000624577,0.000934149,0.0012694,0.00175789,0.00324365,0.00623557,0.0132807,0.0415946,0.000122945,0.43566,0.882596,1,55.2083,0.343479,0.271281,28.5825,1.49905,66.3975,1.63359,182.138,0.335219,259.338,0.311476,297.054,0.291018,0.204871,0.424693,0.205883,0.443355
